Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1087875.7,12264016.6,1300000,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,85027932.96,197821229.1,113463687.2,467541899.4,-127932960.9,-266927374.3,332513966.5,159776536.3,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,272088145.4,208344037.2,-26881396.99,27550827.1,162456842.3,144146269.4,-75226540.68,161066979.1,133545121.2,248150282.6,-137459364.9,103250590
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,421709865.6,326490932.4,218888245.7,176559138.7,898515563.3,316834707.3,411261082.7,67103622.21,168439069.5,-12312370.24,483620276.5,372130053.3,581698643.4,86246455.02,598858245.3,106432296.3,411045300.7,279804684.3,536594623.8,400488555.9,88673056.91,1241968645,652324976.2,839514649,1187865944,2662960707,2087426670,5757032203,4121574276,6254804529,4315009017,12205013774,6464122720,8555151107,7979693795,10333881073,7234542924,16122287676,22483230617,18484263836,13934876540,17538712523,24636341951,21534247724,27691401151,28638672651,16660273393,10328975499,13594659429,14927298405,13221019154,54365050633,21129349025,22236146606,24756671641
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,230000,450000,150000,270000,,,40000,-240000,,1200000,9000000,180000,100000,0,0,0,0,400000,0,0,10,-280000,360000,-20000,20000,-93330,690000,-1460000,-10000,6040000,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,46033740,56107246.5,190774432,52173421,56823660,48311346,42975262.5,169146608,93591315.3,51533896.77,119435105.7,23404553.65,12970147.98,20600980,,,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,407459999.6,388679999.7,476659999,642409999.5,518269117.7,969105150.5,605378805.5,778790474.9,751399198.6,785673507.8,-228089204.8,1172896062,878530340.4,768217164.3,338951391,893620026.8,204429670.6,1037919132,973621876.7,2569136448,1073307826,837652713.9,1214631392,1757936789,2389930552,945428072.4,1182474447,1622432328,1897977345,2391058457,2560094796,3224338693,4408519418,5262166819,4653748706,9278129445,9202356524,13030657208,16317443291,18159745860,18874323021,24501138032,20912687296,19157553407,16598028192,16597546704,15648129980,17742426924,14887496087,12601244674,10863479466,17015842603,16452344473,20058100848,18762321652
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2399999.9,1860000,2160000,7540000,6690000,50000,-1169999.9,,1870000,2000000,37420000,49049999.9,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-1464627991,-7120017424,3657514667,10028215163,-179517618.9,-7397295409,-6456076413,-4098478748,-1866468113,-4355116553,-6598652652,-2119632186,-1109663097
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1247181714,1345415234,1089898208,1048706682,917994575.8,1254150556,1149927986,989578334.8,1044389555,1022757857,1204383364,1201022154,1069744880,1218586452,1441381891,1620982551,1710279512
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422216126.3,272687591.3,484821990.1,593981421.3,275778939.2,268353296
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,489809999.8,47852734.62,267977643.7,-691490283.8,-3399182607,1474964060,406538235.2,924430386.8,638527390.9,-137420541.9,-3211683186,7107307475,11797986204,5637820866,6253971511,2022484766,2333917876,12216556.79,1628746427,1312830828,3053835682,2123621591,3477597029,4331542881,4909888144,299885485.8,3662695409,8973444817,9641399376,2881569836,3840491008,8899597176,6159576366,14595559433,21373075481,38336974237,57164037968,63693369753,54801432358,40656588740,45647503423,33243608526,42932591403,35765830417,24540020180,21337111052,47085439652,30527077377,42865771096,34413431967,32410671974,68885397874,76984651612,88078631178,1.27009E+11
United Arab Emirates,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,7780000,6940000,10510000,3410000,1629999.9,15949999.9,49430000,112239999.9,39119999.9,64579999.9,97640000,-16940000,95060000,45539999.9,170240000,-220960000,110209999.9,46719999.9,188889999.9,38789999.9,-115820000,25940000,129720000,401320000,62460000,399850000,300520000,232430000,257660000,-985340000,-506330000,1183840000,95300000,4255956430,10003500000,10899931930,12805990470,14186521440,5062972000,1134288140,8796769640,7152095830,9566651350,9764914530,11071537020,8550901850,9604773000,10354223000,10385286000,17874660000,19884470000,20667120000,22736555480,30687542550,45631800000
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,89769999.9,125670000,71719999.9,100250000,17920000,55590000,244680000,144000000,250000000,206000000,678000000,837000000,227000000,185000000,268000000,919000000,574000000,-19000000,1147000000,1028000000,1836000000,2439000000,4430977523,2793085410,3634931878,5609423404,6948536687,9160272052,7290657132,23987696390,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537347786,6473157762,9725553130,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542,11758994011,3260164342,11516861462,11716769819,6649187838,4884127676,6658049679,15206087397,24756887227,11644393816
