Country,Year,Cluster,FDI,GDP_Growth,Trade_Openness
Brunei Darussalam,2000,0,549607250.0,3.47467625024112,87.0553333568927
Brunei Darussalam,2001,0,60694643.66,1.46606051123892,91.0997879158666
Brunei Darussalam,2002,0,229671955.7,3.96143911729992,93.216181422048
Brunei Darussalam,2003,0,123820911.1,3.58342892575843,89.0856160636546
Brunei Darussalam,2004,0,113205867.0,0.104538440167488,84.8821664082063
Brunei Darussalam,2005,0,175068516.6,-0.0039251887198048,81.6201140781985
Brunei Darussalam,2006,0,87839128.31,4.09841260978121,81.5709545655602
Brunei Darussalam,2007,0,257635717.5,-3.76362347570418,81.0114145688802
Brunei Darussalam,2008,0,222184549.5,-3.90071082085659,89.7454254846842
Brunei Darussalam,2009,0,325586827.8,-1.90025386182131,90.2870881131683
Brunei Darussalam,2010,0,480722550.0,2.74136433514822,95.3715460725918
Brunei Darussalam,2011,0,691170270.0,3.74440638728039,99.53793086070692
Brunei Darussalam,2012,0,864905530.0,0.913135324414256,105.6409021454082
Brunei Darussalam,2013,0,775642000.0,-2.12478318620758,110.9395995790741
Brunei Darussalam,2014,0,573906207.8,-2.50788721630481,102.4210010472697
Brunei Darussalam,2015,0,171289167.8,-0.392383487933529,89.8961883759738
Brunei Darussalam,2016,0,-150550827.3,-2.47791776520457,87.31980125117039
Brunei Darussalam,2017,0,467927550.3,1.32872651318183,85.1768604153529
Brunei Darussalam,2018,0,516202620.6,0.0523710544736673,93.89806169679552
Brunei Darussalam,2019,0,373256767.2,3.86884416432889,108.50965849074028
Brunei Darussalam,2020,0,565542275.4,1.13357340605403,110.2910035639633
Brunei Darussalam,2021,0,206462739.4,-1.59076248075436,147.1231124081566
Brunei Darussalam,2022,0,-290169984.9,-1.62833154022366,146.9739660925357
Brunei Darussalam,2023,0,-55927970.38,1.12764419161606,136.8634343008177
Brunei Darussalam,2024,2,29063018.65,4.20037273472056,133.2232185380837
Cambodia,2000,2,118308566.3,9.99358032292079,110.39712530373068
Cambodia,2001,2,146481995.1,7.38971065070517,111.77174124400072
Cambodia,2002,2,130956363.9,6.26507280509637,118.2695620722878
Cambodia,2003,2,81580650.56,10.2836813071691,120.0749690935987
Cambodia,2004,2,131416229.3,9.45769481103929,131.35148105627582
Cambodia,2005,2,379180190.6,13.3033338358455,133.5519652656478
Cambodia,2006,2,483209382.7,10.9433600681694,140.3487343184835
Cambodia,2007,2,867288538.6,10.398458101201,133.7000238268188
Cambodia,2008,2,815180218.0,7.47636606631011,130.3935106787364
Cambodia,2009,0,928393617.3,4.07477850599065,102.2879490146999
Cambodia,2010,0,1404315449.0,5.07691843229247,109.9984006077576
Cambodia,2011,2,1538883425.0,7.28665813879552,109.7905051668145
Cambodia,2012,2,1988102945.0,7.65025657870362,116.7402334182123
Cambodia,2013,2,2068470774.0,7.8574997554252,124.887552768657
Cambodia,2014,2,1853471158.0,8.00032074618566,124.4549085266928
Cambodia,2015,2,1822804151.0,7.20703472529512,122.109596815379
Cambodia,2016,2,2475915854.0,7.90550116130704,122.7045556026671
Cambodia,2017,2,2788084322.0,8.07503915535979,121.1554512986888
Cambodia,2018,2,3212633447.0,8.77622376224463,118.4376554130496
Cambodia,2019,2,3663032999.0,7.93695013588524,115.73667907244791
Cambodia,2020,0,3624644990.0,-3.55572193406549,122.1053963465684
Cambodia,2021,2,3483461606.0,3.08984284151994,146.1798465097154
Cambodia,2022,2,3578831296.0,5.12990110767267,145.8736327614059
Cambodia,2023,2,3958792379.0,5.00733043812642,134.20684239593072
Cambodia,2024,2,4394647334.0,6.01581457354608,143.44700970301102
Indonesia,2000,1,-4550355286.0,4.9200677470169,71.4368759173731
Indonesia,2001,0,-2977391857.0,3.64346644721492,69.7932075256238
Indonesia,2002,0,145085548.7,4.49947539085764,59.0794617663723
Indonesia,2003,0,-596923827.8,4.78036912167654,53.6164937473016
Indonesia,2004,0,1896082770.0,5.03087394501685,59.7612948366911
Indonesia,2005,0,8336257208.0,5.69257130383384,63.9879358688635
Indonesia,2006,0,4914201435.0,5.50095178520348,56.6571268148867
Indonesia,2007,0,6928480000.0,6.34502222667214,54.8292499782075
Indonesia,2008,0,9318453650.0,6.01370360009123,58.5613996312961
Indonesia,2009,0,4877369178.0,4.62887118256153,45.512121368705394
Indonesia,2010,0,15292009411.0,6.22385418062366,46.701273875873696
Indonesia,2011,0,20564938227.0,6.16978420771008,50.1800131841104
Indonesia,2012,0,21200778608.0,6.03005065305615,49.5828982992627
Indonesia,2013,0,23281742362.0,5.5572636889101,48.6373726752893
Indonesia,2014,0,25120732060.0,5.006668425755,48.080175585522696
Indonesia,2015,0,19779127977.0,4.87632230022123,41.9376402415294
Indonesia,2016,0,4541713739.0,5.03306918280177,37.4213418023318
Indonesia,2017,0,20510310832.0,5.06978590134916,39.3554970704606
Indonesia,2018,0,18909826044.0,5.17429153955024,43.0743089552002
Indonesia,2019,0,24993551748.0,5.01928768046282,37.627777535710806
Indonesia,2020,0,19175077748.0,-2.06551182934165,32.9721754002427
Indonesia,2021,0,21213080330.0,3.70288562827751,40.20475827496711
Indonesia,2022,0,24702029705.0,5.30719722664799,45.4646701959453
Indonesia,2023,0,21543358781.0,5.04902331835997,41.3362868707651
Indonesia,2024,0,24107310607.0,5.03034469419038,42.572647301834
Lao PDR,2000,0,33890000.0,5.79878232861959,68.8373013678325
Lao PDR,2001,0,23904284.13,5.75141287983195,65.8994368798481
Lao PDR,2002,0,4451297.031,5.91874368370564,67.2549028523532
Lao PDR,2003,0,19484000.8,6.06700230344272,60.57209588278791
Lao PDR,2004,0,16917263.0,6.35769548008234,66.0797516222837
Lao PDR,2005,0,27720000.0,7.10756836811267,71.7926462737852
Lao PDR,2006,0,187310641.0,8.61926620832807,81.9613754162421
Lao PDR,2007,0,323520000.0,7.59682880054878,79.21262890352679
Lao PDR,2008,0,227770000.0,7.82490276337012,81.8491820941318
